scale,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9
1.02,0.0023282553663679867,0.15836518684825268,-0.02093079002157475,0.026238905816209062,0.1373039028738669,0.07684898115210903,-0.06838831024631054,0.029500615698604606,0.03355784267963293,0.09052070431350104
1.04,0.012321377625111901,0.15707016228446358,-0.04232887598680853,0.03482367166175225,0.12541589811746487,0.07416130054716426,-0.10154242451566264,-0.013851515403241931,0.053595157690161224,0.06112286350467094
1.06,0.022434281433147404,0.15422717574387879,-0.0629937680787273,0.04345453160939746,0.10944460718771044,0.06784409539948469,-0.13018297484291153,-0.05259687514968097,0.06478066352238948,0.048267301406292484
1.08,0.0326672055953249,0.14982034092847035,-0.08256532394902212,0.05205030045484344,0.08951795325178832,0.05854447121926275,-0.15256422178077114,-0.08480805913280673,0.06960907011353454,0.04513746211563891
1.1,0.043020387299870524,0.14383368645795916,-0.10068117663929717,0.06052945863355386,0.06583927781684112,0.04705023727792183,-0.16712034135581688,-0.10948361059332079,0.07227749257690595,0.041406880139756824
1.12,0.05349407198431227,0.13625113751978282,-0.11697647280200041,0.06881009880718697,0.03868750077697257,0.0342914350491054,-0.17250800697361318,-0.12583469962805505,0.07833100916328911,0.023734670600078084
1.14,0.06408830028988764,0.12705908405564315,-0.13111885297199877,0.0768122372564118,0.006332877359717073,0.0169733924632896,-0.03099151435632323,-0.060605358832135366,-0.9064718739649746,-0.32021660377283473
1.16,0.07480398087048004,0.11623337296573905,-0.1426270837196596,0.08444487081025087,-0.02450742872235066,0.009491386369504373,-0.15148418282738654,-0.12187983912204278,0.07916137467195167,-0.0004243266560856329
1.18,0.08564072757849682,0.10376550617619999,-0.15123651573034108,0.09163240884360777,-0.05960386801106922,5.1854574098135e-05,-0.12360798430468536,-0.10651705459575023,0.07033964366046974,0.004240291618411503
1.2,0.09659902455607286,0.089636288192753,-0.15653412342327633,0.09828838843269122,-0.09627480147835668,-0.0054393166209547395,-0.08384460695177778,-0.08165265108352408,0.05962836095301507,0.01213127634106424
1.22,0.10767913605207734,0.07382913691780599,-0.15814431956560632,0.10432936150560514,-0.1338582809495508,-0.005331991351176898,-0.032900624468821714,-0.04762460877559224,0.06342692395996366,-0.015393812914146817
1.24,0.1188813473282666,0.05632734157052051,-0.15568653573421,0.10967095169921752,-0.17160629215599868,0.002193473854211814,0.0282329273655422,-0.00900285374197414,0.08203632992520987,-0.07617663615364259
1.26,0.13020595515028122,0.037113888516279905,-0.1487694026206263,0.11422654147541005,-0.20868046724293368,0.019146345413235625,0.09849773353852086,0.04161992960481101,0.0880917671798179,-0.10590986136037456
1.28,0.14165324346471275,0.01617185399860533,-0.13700765609973173,0.11791104330937216,-0.24418105869872167,0.0476343812422096,0.17561129738787296,0.10055994995574581,0.09117571199163908,-0.12707507284318523
1.3,0.15322350836929108,-0.006515832072389715,-0.1200122813986591,0.12063871408068252,-0.27712686646647894,0.0899238544412018,0.25668058650589376,0.16457493291307196,0.09558568274706919,-0.149603169295417
1.32,0.1650539476654279,-0.031736087719724644,-0.1485898256877728,-0.4741980527182333,0.003275359561221739,-0.0747378429090242,-0.05197567081211741,-0.05907012904917623,-0.001663086034869231,0.017873713184194978
1.34,0.1768797839472954,-0.05801600722355433,-0.12323139622892251,-0.511895836072234,-0.002319732603612924,-0.009441712812465546,0.0012200464003021912,0.01047886081222311,-0.005014864746318234,0.014624646975539765
